elemento,grupo,perfil,rol_critico,combo,extremo,material,Fy_kg_cm2,E_kg_cm2,A_cm2,Ix_cm4,Iy_cm4,rx_cm,ry_cm,J_cm4,b_ext_mm,b_flat_mm,t_mm,lambda_pared,lambda_p,lambda_r,clasificacion_local,tipo_elemento_local,Kx,Ky,L_m,KL_rx,KL_ry,Fe_x_MPa,Fe_y_MPa,Fcr_x_MPa,Fcr_y_MPa,Ae_cm2,Q_local,Pn_fluencia_N,Pn_pandeo_x_N,Pn_pandeo_y_N,Pn_control_N,PR_N,estado_limite_axial,S_cm3,Z_cm3,Mn_x_Nm,Mn_y_Nm,MRx_Nm,MRy_Nm,estado_limite_flexion,Vy_max_N,Vz_max_N,VRy_N,VRz_N,Cv_cortante,Pu_N,Mux_Nm,Muy_Nm,M_resultante_Nm,ratio_axial,ratio_mx,ratio_my,ratio_flexion,interaccion_pm,ecuacion_interaccion,utilizacion_cortante_y,utilizacion_cortante_z,utilizacion_control,limite_esbeltez,cumple_esbeltez,p_delta_global,p_delta_local,requisitos_sismicos,dictamen
102,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,3100.58176503593,247.12566333752994,619231.573926,619231.573926,1.0,542638.924154906,216.11546410970266,6181.95944412875,6185.735886915962,0.31645570612490453,0.0015704830243402875,0.0449234968175905,0.04649397984193079,0.35778368820662076,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.005007144169632504,0.0003990844035466805,0.35778368820662076,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
114,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,3029.9720081133405,228.33213617580563,619231.573926,619231.573926,1.0,534730.3729545939,292.9771960085818,6076.4870701281525,6083.545902745837,0.31184360396430594,0.002129027252842651,0.04415704276680251,0.04628607001964516,0.35298677731510164,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004893116138931622,0.00036873464756997676,0.35298677731510164,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
106,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,19216.93677506773,126.71409145780106,1233527.66622,1233527.66622,1.0,1028436.5016268399,503.2227796269236,28011.823948554233,28016.34369597025,0.28037435841758324,0.0011999404445699764,0.06679451297288953,0.06799445341745951,0.34081387256643614,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.015578845372763925,0.00010272496914974063,0.34081387256643614,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
115,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,3193.1978803435895,181.8392285983859,619231.573926,619231.573926,1.0,487251.66499776713,253.6031227794197,6317.6093197172095,6322.697372202881,0.28415501145175226,0.0018429009737248288,0.04590924685516028,0.04775214782888511,0.32660136507742793,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.005156710372661304,0.0002936530310389441,0.32660136507742793,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
103,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,3252.81009545302,135.27514434734445,619231.573926,619231.573926,1.0,479060.1702934458,86.93927108587654,6464.199002359137,6464.783614240913,0.2793779025392069,0.0006317763976370518,0.04697449505052179,0.04760627144815884,0.32169458827090364,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.005252978421028867,0.00021845647096074952,0.32169458827090364,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
110,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,17439.71792866886,183.23331403945238,1233527.66622,1233527.66622,1.0,979955.0506097088,535.4327385041686,23282.915948636906,23289.071756700672,0.26715725099035803,0.0012767454580540562,0.05551837803329444,0.05679512349134849,0.31764180520489005,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.014138084135648791,0.00014854414623787827,0.31764180520489005,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
105,Columna_1,ORC 203 x 9.5,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,296.44621534998043,2398.23444647547,619231.573926,619231.573926,1.0,500024.4514879357,82.46593035878593,669.0737928157614,674.136759050275,0.29160383421031844,0.0005992692112451529,0.004862072401791395,0.0054613416130365475,0.2964583600885731,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0004787323964611123,0.0038729201601759183,0.2964583600885731,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
206,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,23667.420443375486,518.0938362324376,1233527.66622,1233527.66622,1.0,774567.7275191817,872.874516001061,38950.880942088246,38960.66010844038,0.21116415968377797,0.0020813792164985647,0.09287881885770848,0.09496019807420704,0.2955732246386287,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.01918677715263696,0.00042000990364494625,0.2955732246386287,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
109,Columna_1,ORC 203 x 9.5,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,301.5425895971398,2393.48631035573,619231.573926,619231.573926,1.0,483919.9852588866,114.75707722738653,600.9319201576117,611.7911076814427,0.28221204529614247,0.0008339247839156673,0.0043668942584908325,0.0052008190424065,0.28683499555605935,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0004869625553576423,0.0038652523726798184,0.28683499555605935,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
202,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,J,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,2529.160608686226,440.2914552450756,619231.573926,619231.573926,1.0,436791.9792979437,765.1202846892095,4201.366271448803,4270.466906195447,0.25472797487517973,0.005560029790708829,0.030530783326994524,0.03609081311770335,0.2868086976464716,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004084353439297441,0.0007110287552903298,0.2868086976464716,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
214,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,2457.1713449982194,624.1660474564582,619231.573926,619231.573926,1.0,430688.66117844795,997.4851562110237,4104.425963868845,4223.895018787995,0.2511686470068041,0.0072485951494227294,0.029826330695361607,0.037074925844784334,0.2841241366466124,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.003968097636590892,0.001007968704662737,0.2841241366466124,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
210,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,19800.38522671056,519.1010394157892,1233527.66622,1233527.66622,1.0,738182.5871570458,868.0704405046605,32657.465166918337,32669.000251280457,0.20124477198329252,0.002069923843808218,0.07787209732431578,0.079942021168124,0.2723043463549583,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.016051837156913152,0.00042082642621751084,0.2723043463549583,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
107,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,13481.158220112051,8434.436610296887,1233527.66622,1233527.66622,1.0,743344.4389225298,18283.914031592976,11420.688179458908,21557.681480324245,0.2026520060465574,0.043598201074709624,0.027232760928499494,0.07083096200320912,0.2656128611605211,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.010928946783515176,0.006837654996537875,0.2656128611605211,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
215,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,2714.302212906073,523.7003943280926,619231.573926,619231.573926,1.0,390732.10064123396,864.3158744646963,4481.25351204734,4563.844319221274,0.22786681402676345,0.006280871265304774,0.03256468757304294,0.03884555883834771,0.2623961996608503,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004383339492359993,0.0008457262458497897,0.2623961996608503,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
113,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,31.4336802713469,2317.353270294581,619231.573926,619231.573926,1.0,388364.7838544678,5377.854217353128,40.05591746113848,5378.003389700166,0.22648624423711164,0.039080168513266185,0.00029108115264329866,0.039371249665909484,0.26148291060680895,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),5.076239906833839e-05,0.003742304765892818,0.26148291060680895,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
