elemento,grupo,perfil,rol_critico,combo,extremo,material,Fy_kg_cm2,E_kg_cm2,A_cm2,Ix_cm4,Iy_cm4,rx_cm,ry_cm,J_cm4,b_ext_mm,b_flat_mm,t_mm,lambda_pared,lambda_p,lambda_r,clasificacion_local,tipo_elemento_local,Kx,Ky,L_m,KL_rx,KL_ry,Fe_x_MPa,Fe_y_MPa,Fcr_x_MPa,Fcr_y_MPa,Ae_cm2,Q_local,Pn_fluencia_N,Pn_pandeo_x_N,Pn_pandeo_y_N,Pn_control_N,PR_N,estado_limite_axial,S_cm3,Z_cm3,Mn_x_Nm,Mn_y_Nm,MRx_Nm,MRy_Nm,estado_limite_flexion,Vy_max_N,Vz_max_N,VRy_N,VRz_N,Cv_cortante,Pu_N,Mux_Nm,Muy_Nm,M_resultante_Nm,ratio_axial,ratio_mx,ratio_my,ratio_flexion,interaccion_pm,ecuacion_interaccion,utilizacion_cortante_y,utilizacion_cortante_z,utilizacion_control,limite_esbeltez,cumple_esbeltez,p_delta_global,p_delta_local,requisitos_sismicos,dictamen
203,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,2883.49074300876,212.5048767293972,619231.573926,619231.573926,1.0,382818.95666735986,240.2371343333122,4765.117508334978,4771.169536806802,0.2232520334563864,0.001745772070688603,0.034627490386472504,0.036373262457161104,0.25558382230719623,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.00465656285051341,0.0003431751313682079,0.25558382230719623,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
108,Columna_1,ORC 203 x 9.5,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,3407.186116033121,2552.9863936401966,619231.573926,619231.573926,1.0,354420.53830182046,153.8171894897752,7342.160568277295,7343.771615331491,0.20669066799464195,0.0011177695494423432,0.05335452778430977,0.05447229733375211,0.2551104878468661,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.005502280987436034,0.004122829812204127,0.2551104878468661,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
101,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,58.789424024972796,2342.9354822762625,619231.573926,619231.573926,1.0,371329.12880755775,5488.112170959262,115.98402198616817,5489.337618910616,0.2165514054203679,0.039881398749844886,0.0008428408322114604,0.04072423958205634,0.2527507294933069,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),9.493931915041254e-05,0.0037836176011209824,0.2527507294933069,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
116,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,84.96618519543526,2362.7413717337445,619231.573926,619231.573926,1.0,344796.92765347596,5426.425872592313,36.23161348403379,5426.546828375749,0.20107837892426994,0.039433132426938404,0.00026329043206389926,0.0396964228590023,0.236364088132272,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0001372122946779664,0.0038156022257613414,0.236364088132272,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
205,Columna_1,ORC 203 x 9.5,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,226.78094141471786,1246.18207193752,619231.573926,619231.573926,1.0,357662.15070462885,40.335763309312895,377.61755708565215,379.765708326964,0.2085811087578282,0.000293114756095974,0.002744097769860797,0.0030372125259567713,0.21128085322534534,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0003662296158073794,0.002012465327044907,0.21128085322534534,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
407,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.1999999999999993,26.913372582001674,26.913372582001674,2725.5222460526193,2725.5222460526193,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,14807.05624555565,20903.169495015805,1233527.66622,1233527.66622,1.0,183511.90389287702,40625.29761390378,28346.833160586637,49537.437927817686,0.050029371997750774,0.09687148446609624,0.06759334625130198,0.1644648307173982,0.18947951671627358,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.01200382987025344,0.016945845697219828,0.18947951671627358,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
406,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.1999999999999993,26.913372582001674,26.913372582001674,2725.5222460526193,2725.5222460526193,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,32362.28097156683,808.4809821028069,1233527.66622,1233527.66622,1.0,253560.08186612366,785.6203456828603,61910.747452692754,61915.73184158169,0.06912604245480135,0.0018733206544441442,0.14762688182979272,0.14950020248423687,0.18406322371163755,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.026235553411410074,0.000655421847635004,0.18406322371163755,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
207,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,10706.59105430534,14749.029038831919,1233527.66622,1233527.66622,1.0,561277.0632817562,24030.729200269165,17065.425986215236,29473.797006623685,0.1530164441491472,0.05730154724173963,0.040692702464416704,0.09799424970615633,0.17450247178072992,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.00867965214522867,0.011956788195945842,0.17450247178072992,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
410,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.1999999999999993,26.913372582001674,26.913372582001674,2725.5222460526193,2725.5222460526193,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,26859.69612575687,822.2592756728342,1233527.66622,1233527.66622,1.0,241442.57552738325,817.0786265853635,51345.662586101804,51352.16338079475,0.06582254431955324,0.0019483332832435447,0.12243431673737892,0.12438265002062247,0.1572939221803991,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.02177470101506944,0.0006665916770173066,0.1572939221803991,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
208,Columna_1,ORC 203 x 9.5,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,6207.70544714135,1576.0940119930874,619231.573926,619231.573926,1.0,260493.35947867113,390.2003749527448,10069.760885747211,10077.318126800292,0.15191429575947454,0.002835535473960508,0.0731756452291829,0.07601118070314342,0.15196832858288067,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.01002485291210811,0.0025452416807503347,0.15196832858288067,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
306,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.200000000000001,26.91337258200169,26.91337258200169,2725.5222460526165,2725.5222460526165,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,17966.141634889867,264.2807230528444,1233527.66622,1233527.66622,1.0,516305.3134349264,19.895098334680455,30577.204153116872,30577.21062550221,0.14075615827804533,4.7440088380296774e-05,0.07291169126405529,0.07295913135243559,0.14333721049145826,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.014564846923899963,0.00021424790889587543,0.14333721049145826,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
408,Columna_1,ORC 203 x 9.5,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.1999999999999993,40.660736975857674,40.660736975857674,1194.0856703800573,1194.0856703800573,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,8434.04512358953,1425.0285013685748,619231.573926,619231.573926,1.0,85260.5829061021,248.05290154842695,15780.352810006754,15782.3022734408,0.0497221942015889,0.0018025682364979242,0.11467377546678541,0.11647634370328333,0.14133744080407779,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.013620179394465798,0.002301285272541464,0.14133744080407779,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
104,Columna_1,ORC 203 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,67.1,4162.3,4162.3,7.870000000000001,7.870000000000001,6659.7,203.0,177.10999999999999,8.9,19.9,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,40.66073697585769,40.66073697585769,1194.0856703800566,1194.0856703800566,283.9441872105283,283.9441872105283,67.1,1.0,2129441.985,1905265.496182645,1905265.496182645,1905265.496182645,1714738.9465643805,pandeo_x,408.0,481.8,152900.9163,152900.9163,137610.82467,137610.82467,fluencia_plastica,202.72363316243036,2396.911163468248,619231.573926,619231.573926,1.0,338113.44753194886,5544.780620068535,185.35423932509966,5547.877821178418,0.19718071267313705,0.040293201013548836,0.0013469451968592702,0.041640146210408104,0.14023050254697664,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.0003273793548302762,0.0038707831841835088,0.14023050254697664,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
307,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.200000000000001,26.91337258200169,26.91337258200169,2725.5222460526165,2725.5222460526165,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,9957.779180491036,11213.016063419842,1233527.66622,1233527.66622,1.0,374621.8679886161,19311.851497949563,12960.724230712316,23257.858475436427,0.1021301419391041,0.04604932966090859,0.03090499441793896,0.07695432407884756,0.1280193950483996,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.008072603033708579,0.009090202328238657,0.1280193950483996,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
310,Columna_2,ORC 305 x 12.7,interaccion,GRAV_DISEÑO,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.200000000000001,26.91337258200169,26.91337258200169,2725.5222460526165,2725.5222460526165,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,15559.100818638548,228.39565179779976,1233527.66622,1233527.66622,1.0,492042.95840842504,120.02571686773888,25375.363453246147,25375.647313064743,0.13414170788320395,0.0002862026877338108,0.060507842919565284,0.0607940456072991,0.12786489954890107,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.012613499676353087,0.00018515648902929862,0.12786489954890107,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
111,Columna_2,ORC 305 x 12.7,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,134.84,19021.8,19021.8,11.89,11.89,30301.6,305.0,269.04,11.799999999999999,22.8,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,26.91337258200168,26.91337258200168,2725.522246052618,2725.522246052618,302.2580918264678,302.2580918264678,134.84,1.0,4279194.5940000005,4075648.1101880926,4075648.1101880926,4075648.1101880926,3668083.2991692834,pandeo_x,1248.7,1468.3,465970.14404999994,465970.14404999994,419373.129645,419373.129645,fluencia_plastica,12826.175202887238,517.2808128785874,1233527.66622,1233527.66622,1.0,401230.640652168,353.42903894675555,27082.294106090023,27084.600165672175,0.109384277271739,0.0008427555653027503,0.06457803848571611,0.06542079405101886,0.12011293268688836,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.010397963137860976,0.000419350799373421,0.12011293268688836,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
