nodo,x_m,y_m,z_m,max_abs_Rx_N,combo_Rx,max_abs_Ry_N,combo_Ry,max_abs_Rz_N,combo_Rz,max_abs_Mx_Nm,combo_Mx,max_abs_My_Nm,combo_My,max_abs_Mz_Nm,combo_Mz,max_P_compresion_N,combo_P_compresion,max_levantamiento_N,combo_levantamiento,max_V_horizontal_N,combo_V_horizontal,max_M_resultante_Nm,combo_M_resultante
6,6.32,6.2,0.0,10974.80611183555,SISMO_DOWN_1,7281.444438759546,SISMO_DOWN_1,1216990.2162465847,GRAV_DISEÑO,21602.00175571449,SISMO_DOWN_1,16155.310265535447,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,1216990.2162465847,GRAV_DISEÑO,0.0,GRAV_DISEÑO,13170.641681676914,SISMO_DOWN_1,26974.812874783893,SISMO_DOWN_1
10,6.32,12.3,0.0,8936.891723894167,SISMO_DOWN_1,8220.030026880282,SISMO_DOWN_1,1156767.101214269,GRAV_DISEÑO,22601.40270688643,SISMO_DOWN_1,13148.317996557902,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,1156767.101214269,GRAV_DISEÑO,0.0,GRAV_DISEÑO,12142.360863004422,SISMO_DOWN_1,26147.689581633436,SISMO_DOWN_1
7,11.620000000000001,6.2,0.0,10152.289133025126,SISMO_DOWN_1,12377.177899254231,SISMO_DOWN_1,941994.0238900218,GRAV_DISEÑO,21335.179394042785,SISMO_DOWN_1,15327.950790500012,SISMO_DOWN_1,3.466576599451225,SISMO_DOWN_1,941994.0238900218,GRAV_DISEÑO,0.0,GRAV_DISEÑO,16008.232488014643,SISMO_DOWN_1,26270.438808896546,SISMO_DOWN_1
9,0.0,12.3,0.0,41927.43289871411,SISMO_DOWN_1,2539.029880083056,SISMO_DOWN_1,662350.7196975545,GRAV_DISEÑO,4226.985921632408,SISMO_DOWN_1,135108.27536105626,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,662350.7196975545,GRAV_DISEÑO,0.0,GRAV_DISEÑO,42004.24147878556,SISMO_DOWN_1,135174.38174824652,SISMO_DOWN_1
5,0.0,6.2,0.0,51142.75699361475,SISMO_DOWN_1,2471.3908459290296,SISMO_DOWN_1,656625.095135707,GRAV_DISEÑO,4150.5926179223925,SISMO_DOWN_1,169062.45349739076,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,656625.095135707,GRAV_DISEÑO,0.0,GRAV_DISEÑO,51202.43515323536,SISMO_DOWN_1,169113.39568951173,SISMO_DOWN_1
14,6.32,18.5,0.0,5109.322368515653,SISMO_DOWN_1,6972.252596520659,SISMO_DOWN_1,641353.46544033,GRAV_DISEÑO,21258.97832444026,SISMO_DOWN_1,8307.605071765603,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,641353.46544033,GRAV_DISEÑO,0.0,GRAV_DISEÑO,8643.927425372303,SISMO_DOWN_1,22824.5582964369,SISMO_DOWN_1
2,6.32,0.0,0.0,9774.921806479224,SISMO_DOWN_1,5503.645271712907,SISMO_DOWN_1,635034.4832441463,GRAV_DISEÑO,19373.452720224832,SISMO_DOWN_1,16041.742825940215,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,635034.4832441463,GRAV_DISEÑO,0.0,GRAV_DISEÑO,11217.807611099011,SISMO_DOWN_1,25152.8961194609,SISMO_DOWN_1
11,11.620000000000001,12.3,0.0,8223.995934180417,SISMO_DOWN_1,6284.433963610654,SISMO_DOWN_1,617191.0940848853,GRAV_DISEÑO,23226.251765965797,SISMO_DOWN_1,12325.099101430453,SISMO_DOWN_1,3.466576599446819,SISMO_DOWN_1,617191.0940848853,GRAV_DISEÑO,0.0,GRAV_DISEÑO,10350.276294302445,SISMO_DOWN_1,26293.85553615352,SISMO_DOWN_1
15,11.620000000000001,18.5,0.0,5108.719060892946,SISMO_DOWN_1,7064.172262076567,SISMO_DOWN_1,593171.5262288311,GRAV_DISEÑO,24060.183970667636,SISMO_DOWN_1,8286.648297500878,SISMO_DOWN_1,3.466576599446356,SISMO_DOWN_1,593171.5262288311,GRAV_DISEÑO,0.0,GRAV_DISEÑO,8717.886222670199,SISMO_DOWN_1,25447.219744185142,SISMO_DOWN_1
3,11.620000000000001,0.0,0.0,10295.285497864965,SISMO_DOWN_1,6186.540923366962,SISMO_DOWN_1,576663.6212811063,GRAV_DISEÑO,23118.859214637563,SISMO_DOWN_1,16471.12067044778,SISMO_DOWN_1,3.4665765994468787,SISMO_DOWN_1,576663.6212811063,GRAV_DISEÑO,0.0,GRAV_DISEÑO,12011.086215619418,SISMO_DOWN_1,28386.25490491277,SISMO_DOWN_1
8,17.07,6.2,0.0,51103.09399960629,SISMO_DOWN_1,3015.829621158129,SISMO_DOWN_1,470307.2081898308,GRAV_DISEÑO,4342.693378090382,SISMO_DOWN_1,168212.40590633146,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,470307.2081898308,GRAV_DISEÑO,0.0,GRAV_DISEÑO,51192.00567116365,SISMO_DOWN_1,168268.4536286363,SISMO_DOWN_1
13,0.0,18.5,0.0,34957.80098286205,SISMO_DOWN_1,2316.222015405059,SISMO_DOWN_1,362878.3605817791,GRAV_DISEÑO,3985.9696821487687,SISMO_DOWN_1,108647.00295682266,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,362878.3605817791,GRAV_DISEÑO,0.0,GRAV_DISEÑO,35034.45067333064,SISMO_DOWN_1,108720.09568523586,SISMO_DOWN_1
1,0.0,0.0,0.0,59502.15523785106,SISMO_UP_1,2176.8766850082757,SISMO_DOWN_1,356976.83825388603,GRAV_DISEÑO,3704.386321086383,SISMO_DOWN_1,204034.60695855378,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,356976.83825388603,GRAV_DISEÑO,0.0,GRAV_DISEÑO,59540.372714519195,SISMO_UP_1,204068.2320076973,SISMO_DOWN_1
16,17.07,18.5,0.0,34901.14682678425,SISMO_DOWN_1,2341.441819444171,SISMO_DOWN_1,316974.810873461,GRAV_DISEÑO,4070.2329662981515,SISMO_DOWN_1,108225.82894605736,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,316974.810873461,GRAV_DISEÑO,0.0,GRAV_DISEÑO,34979.59976355639,SISMO_DOWN_1,108302.33999070014,SISMO_DOWN_1
4,17.07,0.0,0.0,61965.874778914615,SISMO_DOWN_1,2343.7252528545337,SISMO_DOWN_1,305533.54907878384,GRAV_DISEÑO,4077.4209107179654,SISMO_DOWN_1,207013.95233713827,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,305533.54907878384,GRAV_DISEÑO,0.0,GRAV_DISEÑO,62010.1821088843,SISMO_DOWN_1,207054.10361431167,SISMO_DOWN_1
12,17.07,12.3,0.0,42612.31329393289,SISMO_DOWN_1,1901.4617664416648,SISMO_DOWN_1,292452.4622028233,GRAV_DISEÑO,3598.222151785492,SISMO_DOWN_1,136224.18715807653,SISMO_DOWN_1,3.4665765994588096,SISMO_DOWN_1,292452.4622028233,GRAV_DISEÑO,0.0,GRAV_DISEÑO,42654.71604769547,SISMO_DOWN_1,136271.70054538932,SISMO_DOWN_1
