rank,factible,cumple_normativa,cumple_dc,dc_calculado,dc_limite,cumple_lrfd_detallado,lrfd_detallado_activo,lrfd_detallado_modo,lrfd_max_util,lrfd_penalizacion,lrfd_error,lrfd_vigas_ir_total,lrfd_vigas_ir_no_cumplen,lrfd_vigas_ir_util_max,lrfd_vigas_ir_elemento_critico,lrfd_vigas_ir_grupo_critico,lrfd_vigas_ir_perfil_critico,lrfd_vigas_ir_estado_limite,lrfd_vigas_ir_mu_kN_m,lrfd_vigas_ir_mr_kN_m,lrfd_columnas_or_total,lrfd_columnas_or_no_cumplen,lrfd_columnas_or_util_max,lrfd_columnas_or_interaccion_max,lrfd_columnas_or_elemento_critico,lrfd_columnas_or_grupo_critico,lrfd_columnas_or_perfil_critico,lrfd_columnas_or_combo_critico,lrfd_contravientos_or_total,lrfd_contravientos_or_no_cumplen,lrfd_contravientos_or_util_max,lrfd_contravientos_or_elemento_critico,lrfd_contravientos_or_grupo_critico,lrfd_contravientos_or_perfil_critico,lrfd_contravientos_or_estado_control,lrfd_contravientos_or_pu_kN,lrfd_contravientos_or_pr_kN,lrfd_contravientos_or_tr_kN,peso_kg,fitness_peso,fitness_dc,fitness_deriva,max_dc,max_dc_combo,max_dc_elemento,max_dc_extremo,max_dc_tipo_revision,max_dc_pu_N,max_dc_muy_Nm,max_dc_muz_Nm,max_dc_phi_pn_N,max_dc_phi_mny_Nm,max_dc_phi_mnz_Nm,max_dc_ratio_axial,max_dc_ratio_my,max_dc_ratio_mz,max_dc_rama,objetivo_dc_meta_util,objetivo_dc_max_util,cumple_objetivo_dc_max,exceso_objetivo_dc,objetivo_dc_equilibrio,cumple_deriva_servicio,deriva_servicio_calculada,deriva_servicio_limite,util_deriva_servicio,cumple_deriva_colapso,deriva_colapso_calculada,deriva_colapso_limite,util_deriva_colapso,factor_inelastico_deriva,deriva_elastica_max,deriva_combo,deriva_nivel,util_servicio,util_colapso,util_deriva,objetivo_deriva_modo,sistema_lateral,objetivo_deriva_min_util,objetivo_deriva_meta_util,cumple_objetivo_deriva_min,deficit_objetivo_deriva,objetivo_deriva_equilibrio,cumple_desplazamiento_azotea,desplazamiento_azotea_calculado_m,desplazamiento_azotea_limite_m,util_desplazamiento_azotea,desp_azotea_m,util_azotea,desp_azotea_combo,cumple_esbeltez,esbeltez_kl_r_calculada,esbeltez_kl_r_limite,util_esbeltez,esbeltez_elemento,esbeltez_kl_r,cumple_cortante_basal,requiere_escalamiento_cortante,factor_cortante,factor_cortante_combo,factor_cortante_direccion,cortante_invalido,cumple_constructibilidad,cumple_espesor_minimo,cumple_lrfd_local,cumple_columna_mismo_perfil_altura,cumple_telescopico,cumple_ancho_nudo,cumple_cfvd,cumple_guillotina,penal_constructibilidad,penal_constructibilidad_letal,penal_embudo,constructibilidad_total,constructibilidad_espesor,constructibilidad_lrfd_local,constructibilidad_columna_mismo_perfil_altura,constructibilidad_telescopico,constructibilidad_ancho_nudo,constructibilidad_cfvd,guillotina,genes,perfiles,Columna_1,Columna_2,Viga_1,Contraviento_1,Contraviento_2,Viga_2
1,True,True,True,0.6834627700508622,1.0,True,True,completo,0.6953312020601053,0.0,,152,0,0.6953312020601053,330,Viga_1,IR 203 x 31.3,PLT,71.05530625527265,102.18915251430143,64,0,0.35778368820662076,0.35778368820662076,102,Columna_1,ORC 203 x 9.5,SISMO_DOWN_1,64,0,0.5452332655325681,367,Contraviento_2,ORC 89 x 4.8,compresion,77.45108993998856,142.05129223789487,455.56094925,37333.042012104495,37333.042012104495,0.021220196819090986,0.0001254000276454426,0.6834627700508622,GRAV_DISEÑO,330,envolvente,flexion_escalar_viga,0.0,71055.30625527265,4.909767644325375e-13,0.0,103963.68225,103963.68225,0.0,0.6834627700508622,0.0,,0.8,0.95,True,0.0,0.021220196819090986,True,0.0008202547799797836,0.005,0.16405095599595673,True,0.0036455767999101496,0.01,0.36455767999101496,4.444444444444445,0.0008202547799797836,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16405095599595673,0.36455767999101496,0.36455767999101496,auto,arriostrado,0.25,0.35,True,0.0,0.0001254000276454426,True,0.009191309236682143,0.1,0.09191309236682142,0.009191309236682143,0.09191309236682142,SISMO_DOWN_1,True,40.62978731224983,200.0,0.20314893656124916,301,40.62978731224983,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[101, 117, 17, 63, 52, 17]","[""ORC 203 x 9.5"", ""ORC 305 x 12.7"", ""IR 203 x 31.3"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 203 x 31.3""]",ORC 203 x 9.5,ORC 305 x 12.7,IR 203 x 31.3,ORC 114 x 5.3,ORC 89 x 4.8,IR 203 x 31.3
2,True,True,True,0.798006630998286,1.0,True,True,completo,0.8184608791300539,0.0,,152,0,0.8184608791300539,430,Viga_2,IR 203 x 26.8,PLT,69.09514770555572,84.42083118132327,64,0,0.36472943901422944,0.36472943901422944,102,Columna_1,ORC 203 x 9.5,SISMO_DOWN_1,64,0,0.5112267899427408,156,Contraviento_1,ORC 102 x 5.3,compresion,111.17901915349721,217.47494720679572,527.2511049000002,37975.82701210454,37975.82701210454,6.208624964054143e-06,0.0011364243646440637,0.798006630998286,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,69095.14770555572,9.000043386334781e-15,0.0,86584.67865,86584.67865,0.0,0.798006630998286,0.0,,0.8,0.95,True,0.0,6.208624964054143e-06,True,0.0008861043645319915,0.005,0.1772208729063983,True,0.0039382416201421844,0.01,0.39382416201421844,4.444444444444445,0.0008861043645319915,SISMO_DOWN_1,Nivel 6.4 m,0.1772208729063983,0.39382416201421844,0.39382416201421844,auto,arriostrado,0.25,0.35,True,0.0,0.0011364243646440637,True,0.00935456759897699,0.1,0.0935456759897699,0.00935456759897699,0.0935456759897699,SISMO_DOWN_1,True,40.62978731224983,200.0,0.20314893656124916,301,40.62978731224983,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[101, 122, 17, 58, 58, 13]","[""ORC 203 x 9.5"", ""ORC 305 x 15.9"", ""IR 203 x 31.3"", ""ORC 102 x 5.3"", ""ORC 102 x 5.3"", ""IR 203 x 26.8""]",ORC 203 x 9.5,ORC 305 x 15.9,IR 203 x 31.3,ORC 102 x 5.3,ORC 102 x 5.3,IR 203 x 26.8
3,True,True,True,0.7891607314074854,1.0,True,True,completo,0.8093882442990306,0.0,,152,0,0.8093882442990306,430,Viga_2,IR 203 x 26.8,PLT,68.32922833211609,84.42083118132327,64,0,0.4184698489568839,0.4184698489568839,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.5452754630949719,367,Contraviento_2,ORC 89 x 4.8,compresion,77.4570841582573,142.05129223789487,455.56094925,38494.21034719297,38494.21034719297,0.00018357772440730243,0.0011167162471060295,0.7891607314074854,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,68329.2283321161,2.1600104127203475e-13,0.0,86584.67865,86584.67865,0.0,0.7891607314074854,0.0,,0.8,0.95,True,0.0,0.00018357772440730243,True,0.0008852456159714926,0.005,0.1770491231942985,True,0.0039344249598733,0.01,0.39344249598733005,4.444444444444445,0.0008852456159714926,SISMO_DOWN_1,Nivel 6.4 m,0.1770491231942985,0.39344249598733005,0.39344249598733005,auto,arriostrado,0.25,0.35,True,0.0,0.0011167162471060295,True,0.009713114818518411,0.1,0.0971311481851841,0.009713114818518411,0.0971311481851841,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 23, 58, 52, 13]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 254 x 38.7"", ""ORC 102 x 5.3"", ""ORC 89 x 4.8"", ""IR 203 x 26.8""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 254 x 38.7,ORC 102 x 5.3,ORC 89 x 4.8,IR 203 x 26.8
4,True,True,True,0.78893036305991,1.0,True,True,completo,0.8091519712244014,0.0,,152,0,0.8091519712244014,430,Viga_2,IR 203 x 26.8,PLT,68.30928196277014,84.42083118132327,64,0,0.41640898277556354,0.41640898277556354,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.5392552517675877,367,Contraviento_2,ORC 89 x 4.8,compresion,76.60190535965718,142.05129223789487,455.56094925,38494.21034719297,38494.21034719297,0.00019146384685219544,0.0007842490716684629,0.78893036305991,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,68309.28196277014,3.150015185217174e-13,0.0,86584.67865,86584.67865,0.0,0.78893036305991,0.0,,0.8,0.95,True,0.0,0.00019146384685219544,True,0.0008694130085138709,0.005,0.17388260170277417,True,0.003864057815617204,0.01,0.3864057815617204,4.444444444444445,0.0008694130085138709,SISMO_DOWN_1,Nivel 6.4 m,0.17388260170277417,0.3864057815617204,0.3864057815617204,auto,arriostrado,0.25,0.35,True,0.0,0.0007842490716684629,True,0.00956410274631283,0.1,0.0956410274631283,0.00956410274631283,0.0956410274631283,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 24, 58, 52, 13]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 102 x 5.3"", ""ORC 89 x 4.8"", ""IR 203 x 26.8""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 305 x 38.7,ORC 102 x 5.3,ORC 89 x 4.8,IR 203 x 26.8
5,True,True,True,0.7891587364228435,1.0,True,True,completo,0.8093861981795868,0.0,,152,0,0.8093861981795868,430,Viga_2,IR 203 x 26.8,PLT,68.32905559701196,84.42083118132327,64,0,0.4177353987166811,0.4177353987166811,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.710036335053481,156,Contraviento_1,ORC 89 x 6.4,compresion,115.54724188199697,162.73426608976817,534.3915586500001,38516.75243511083,38516.75243511083,0.00018364530617090766,0.0009622451681438154,0.7891587364228435,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,68329.05559701196,2.3400112804470437e-13,0.0,86584.67865,86584.67865,0.0,0.7891587364228435,0.0,,0.8,0.95,True,0.0,0.00018364530617090766,True,0.0008782337248034071,0.005,0.17564674496068142,True,0.0039032609991262544,0.01,0.3903260999126254,4.444444444444445,0.0008782337248034071,SISMO_DOWN_1,Nivel 6.4 m,0.17564674496068142,0.3903260999126254,0.3903260999126254,auto,arriostrado,0.25,0.35,True,0.0,0.0009622451681438154,True,0.009668818204402678,0.1,0.09668818204402678,0.009668818204402678,0.09668818204402678,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 23, 60, 52, 13]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 254 x 38.7"", ""ORC 89 x 6.4"", ""ORC 89 x 4.8"", ""IR 203 x 26.8""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 254 x 38.7,ORC 89 x 6.4,ORC 89 x 4.8,IR 203 x 26.8
6,True,True,True,0.7889282743525133,1.0,True,True,completo,0.8091498289799316,0.0,,152,0,0.8091498289799316,430,Viga_2,IR 203 x 26.8,PLT,68.3091011127114,84.42083118132327,64,0,0.4156765629468771,0.4156765629468771,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.7088651749965333,156,Contraviento_1,ORC 89 x 6.4,compresion,115.35665400965594,162.73426608976817,534.3915586500001,38516.75243511083,38516.75243511083,0.00019153610752064838,0.0006609053822371652,0.7889282743525133,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,68309.1011127114,7.200034709067825e-14,0.0,86584.67865,86584.67865,0.0,0.7889282743525133,0.0,,0.8,0.95,True,0.0,0.00019153610752064838,True,0.0008626961342816427,0.005,0.17253922685632853,True,0.0038342050412517453,0.01,0.38342050412517453,4.444444444444445,0.0008626961342816427,SISMO_DOWN_1,Nivel 6.4 m,0.17253922685632853,0.38342050412517453,0.38342050412517453,auto,arriostrado,0.25,0.35,True,0.0,0.0006609053822371652,True,0.009523243834933198,0.1,0.09523243834933197,0.009523243834933198,0.09523243834933197,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 24, 60, 52, 13]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 89 x 6.4"", ""ORC 89 x 4.8"", ""IR 203 x 26.8""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 305 x 38.7,ORC 89 x 6.4,ORC 89 x 4.8,IR 203 x 26.8
7,True,True,True,0.7975004575077778,1.0,True,True,completo,0.8179417315641805,0.0,,152,0,0.8179417315641805,430,Viga_2,IR 203 x 26.8,PLT,69.05132083653892,84.42083118132327,64,0,0.35672012914236584,0.35672012914236584,102,Columna_1,ORC 203 x 9.5,SISMO_DOWN_1,64,0,0.534923379129494,367,Contraviento_2,ORC 89 x 4.8,compresion,75.98655725360598,142.05129223789487,455.56094925,38599.2330121045,38599.2330121045,9.76205104753873e-06,2.0477546424109675e-05,0.7975004575077778,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,69051.32083653891,7.200034709067825e-14,0.0,86584.67865,86584.67865,0.0,0.7975004575077778,0.0,,0.8,0.95,True,0.0,9.76205104753873e-06,True,0.0008007362459981964,0.005,0.1601472491996393,True,0.0035588277599919844,0.01,0.35588277599919843,4.444444444444445,0.0008007362459981964,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.1601472491996393,0.35588277599919843,0.35588277599919843,auto,arriostrado,0.25,0.35,True,0.0,2.0477546424109675e-05,True,0.009030339383968142,0.1,0.09030339383968142,0.009030339383968142,0.09030339383968142,SISMO_DOWN_1,True,40.62978731224983,200.0,0.20314893656124916,301,40.62978731224983,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[101, 122, 18, 63, 52, 13]","[""ORC 203 x 9.5"", ""ORC 305 x 15.9"", ""IR 254 x 32.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 203 x 26.8""]",ORC 203 x 9.5,ORC 305 x 15.9,IR 254 x 32.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 203 x 26.8
8,True,True,True,0.7898037665943786,1.0,True,True,completo,0.810047761556071,0.0,,152,0,0.810047761556071,430,Viga_2,IR 203 x 26.8,PLT,68.38490532713388,84.42083118132327,64,0,0.36528694513658266,0.36528694513658266,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.5326763183724234,367,Contraviento_2,ORC 89 x 4.8,compresion,75.66735936932704,142.05129223789487,455.56094925,39602.36501210451,39602.36501210451,0.00016244246197173655,1.8474192951006673e-05,0.7898037665943786,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,68384.90532713388,3.6900177883972606e-13,0.0,86584.67865,86584.67865,0.0,0.7898037665943786,0.0,,0.8,0.95,True,0.0,0.00016244246197173655,True,0.0008000721226157899,0.005,0.16001442452315798,True,0.0035558761005146217,0.01,0.35558761005146217,4.444444444444445,0.0008000721226157899,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16001442452315798,0.35558761005146217,0.35558761005146217,auto,arriostrado,0.25,0.35,True,0.0,1.8474192951006673e-05,True,0.009006652325374474,0.1,0.09006652325374474,0.009006652325374474,0.09006652325374474,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 117, 23, 63, 52, 13]","[""ORC 229 x 7.9"", ""ORC 305 x 12.7"", ""IR 254 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 203 x 26.8""]",ORC 229 x 7.9,ORC 305 x 12.7,IR 254 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 203 x 26.8
9,True,True,True,0.789903091338254,1.0,True,True,completo,0.8101496321596898,0.0,,152,0,0.8101496321596898,430,Viga_2,IR 203 x 26.8,PLT,68.39350532816432,84.42083118132327,64,0,0.3662848627838018,0.3662848627838018,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.3914305760098782,156,Contraviento_1,ORC 114 x 5.3,compresion,117.18949524438223,299.387688205085,598.94126055,39901.04767701606,39901.04767701606,0.00015929306956819167,1.7918512486874195e-07,0.789903091338254,GRAV_DISEÑO,430,envolvente,flexion_escalar_viga,0.0,68393.50532816432,4.0500195238506514e-13,0.0,86584.67865,86584.67865,0.0,0.789903091338254,0.0,,0.8,0.95,True,0.0,0.00015929306956819167,True,0.0007887381602214394,0.005,0.15774763204428788,True,0.0035055029343175085,0.01,0.35055029343175087,4.444444444444445,0.0007887381602214394,SISMO_DOWN_1,Nivel 6.4 m,0.15774763204428788,0.35055029343175087,0.35055029343175087,auto,arriostrado,0.25,0.35,True,0.0,1.7918512486874195e-07,True,0.008630164187261306,0.1,0.08630164187261306,0.008630164187261306,0.08630164187261306,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 117, 24, 63, 58, 13]","[""ORC 229 x 7.9"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 102 x 5.3"", ""IR 203 x 26.8""]",ORC 229 x 7.9,ORC 305 x 12.7,IR 305 x 38.7,ORC 114 x 5.3,ORC 102 x 5.3,IR 203 x 26.8
